presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Helmut Rott,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,male,male,female
Clémence Turbé,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,unknown,male,female
Sebastian Roessler,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,male,male,female
Thomas Laraia,Ghislain Picard (Université Grenoble Alpes),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 1,male,male,female
Henna-Reetta Hannula,Mel Sandells (Northumbria University),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 2,female,mostly_female,female
Justin Murfitt,Mel Sandells (Northumbria University),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 2,male,mostly_female,female
Gunnar Spreen,Mel Sandells (Northumbria University),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 2,male,mostly_female,female
Clara Vydra,Mel Sandells (Northumbria University),Rosemary Willatt (UCL),A.09.11 Snow in the cryosphere: improving observations and modelling - PART 2,female,mostly_female,female
Julien Aubert,Ilias Daras (ESA/ESTEC),Elisabetta Iorfida (ESA),A.10.03 Our solid Earth: from core to surface - PART 1,male,male,female
Kathy Whaler,Ilias Daras (ESA/ESTEC),Elisabetta Iorfida (ESA),A.10.03 Our solid Earth: from core to surface - PART 1,female,male,female
Chris Finlay,Ilias Daras (ESA/ESTEC),Elisabetta Iorfida (ESA),A.10.03 Our solid Earth: from core to surface - PART 1,mostly_male,male,female
Bart Root,Ilias Daras (ESA/ESTEC),Elisabetta Iorfida (ESA),A.10.03 Our solid Earth: from core to surface - PART 1,male,male,female
Erwan Thebault,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,male,mostly_male,male
Raffaele Bonadio,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,male,mostly_male,male
Anna Maria Marotta,Chris Finlay (DTU Space),Ilias Daras (ESA/ESTEC),A.10.03 Our solid Earth: from core to surface - PART 2,female,mostly_male,male
